DateTime,PCB_Name,Model,FCT_ID,QR1,QR2,QR3,QRresult,TESTresult,TestNo.,ErrorNo.,OK/NG
2025/12/9 17:50,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,NG,C0,040F,
2025/12/9 18:02,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/12 18:52,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 8:07,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 8:52,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:18,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:19,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:20,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:20,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 9:20,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 9:21,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 9:22,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:23,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:23,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 9:23,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 9:24,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:25,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 9:26,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:26,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 9:28,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,4A,1000,
2025/12/15 9:29,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,4A,1000,
2025/12/15 9:30,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:31,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:33,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:34,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:35,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:37,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:38,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:40,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:41,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:42,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:43,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:44,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:45,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:47,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:48,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:49,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:50,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:51,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:52,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:53,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:54,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:56,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:57,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:58,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 9:59,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:00,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:01,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:03,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:04,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:05,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:06,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:07,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:08,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:09,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:10,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:11,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:11,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:11,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:11,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
