DateTime,PCB_Name,Model,FCT_ID,QR1,QR2,QR3,QRresult,TESTresult,TestNo.,ErrorNo.,OK/NG
2025/12/2 10:16,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:21,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:27,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:32,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:38,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:43,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:49,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/15 10:35,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:35,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:36,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:37,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
2025/12/15 10:38,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:38,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:39,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:41,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:42,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:45,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
2025/12/15 10:46,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
2025/12/15 10:49,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
2025/12/15 10:49,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:49,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:50,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:51,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:52,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:53,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:53,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:55,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:56,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,B1,0051,
2025/12/15 10:56,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:57,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 11:03,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000E,
